movieId,overview
1,"adventure, animation, children, comedy, fantasy, pixar, pixar, fun, 1995"
2,"adventure, children, fantasy, fantasy, magic board game, Robin Williams, game, 1995"
3,"comedy, romance, moldy, old, 1995"
4,"comedy, drama, romance, 1995"
5,"comedy, pregnancy, remake, 1995"
6,"action, crime, thriller, 1995"
7,"comedy, romance, remake, 1995"
8,"adventure, children, 1995"
9,"action, 1995"
10,"action, adventure, thriller, 1995"
11,"comedy, drama, romance, politics, president, 1995"
12,"comedy, horror, 1995"
13,"adventure, animation, children, 1995"
14,"drama, politics, president, 1995"
15,"action, adventure, romance, 1995"
16,"crime, drama, Mafia, 1995"
17,"drama, romance, Jane Austen, 1995"
18,"comedy, 1995"
19,"comedy, 1995"
20,"action, comedy, crime, drama, thriller, 1995"
21,"comedy, crime, thriller, Hollywood, 1995"
22,"crime, drama, horror, mystery, thriller, serial killer, 1995"
23,"action, crime, thriller, 1995"
24,"drama, sci-fi, 1995"
25,"drama, romance, alcoholism, 1995"
26,"drama, Shakespeare, 1995"
27,"children, drama, 1995"
28,"drama, romance, In Netflix queue, Jane Austen, 1995"
29,"adventure, drama, fantasy, mystery, sci-fi, kidnapping, 1995"
30,"crime, drama, 1995"
31,"drama, high school, teacher, 1995"
32,"mystery, sci-fi, thriller, time travel, time travel, Brad Pitt, Bruce Willis, mindfuck, Post apocalyptic, post-apocalyptic, remake, time travel, twist ending, 1995"
34,"children, drama, Animal movie, pigs, villain nonexistent or not needed for good story, 1995"
36,"crime, drama, death penalty, Nun, 1995"
38,"children, comedy, twins, 1995"
39,"comedy, romance, chick flick, funny, Paul Rudd, quotable, seen more than once, Emma, Jane Austen, 1995"
40,"drama, In Netflix queue, South Africa, 1995"
41,"drama, war, Shakespeare, 1995"
42,"action, crime, drama, 1995"
43,"drama, England, 1995"
44,"action, adventure, fantasy, 1995"
45,"comedy, drama, thriller, Journalism, 1995"
46,"drama, romance, wedding, 1995"
47,"mystery, thriller, mystery, twist ending, serial killer, 1995"
48,"animation, children, drama, musical, romance, 1995"
49,"drama, romance, 1995"
50,"crime, mystery, thriller, mindfuck, suspense, thriller, tricky, twist ending, heist, 1995"
52,"comedy, drama, romance, adoption, prostitution, 1995"
53,"adventure, drama, 1994"
54,"children, comedy, 1995"
55,"drama, 1995"
57,"drama, 1995"
58,"comedy, drama, romance, writing, 1994"
60,"adventure, children, fantasy, 1995"
61,"drama, thriller, 1996"
62,"drama, music, 1995"
63,"comedy, crime, 1996"
64,"comedy, romance, 1996"
65,"comedy, 1996"
66,"action, sci-fi, thriller, 1996"
68,"comedy, romance, 1995"
69,"comedy, 1995"
70,"action, comedy, horror, thriller, 1996"
71,"action, 1995"
72,"comedy, drama, 1995"
73,"drama, war, 1995"
74,"drama, romance, 1996"
75,"comedy, drama, 1996"
76,"action, sci-fi, thriller, 1995"
77,"documentary, 1995"
78,"action, crime, drama, thriller, 1995"
79,"drama, thriller, 1996"
80,"children, drama, 1995"
81,"crime, drama, romance, 1995"
82,"comedy, drama, 1995"
83,"drama, romance, 1995"
85,"drama, romance, 1995"
86,"action, adventure, drama, 1996"
87,"children, comedy, 1996"
88,"comedy, 1996"
89,"action, thriller, 1995"
92,"drama, horror, thriller, Jekyll and Hyde, 1996"
93,"comedy, horror, romance, 1995"
94,"comedy, drama, romance, 1996"
95,"action, adventure, thriller, 1996"
96,"comedy, drama, theater, 1995"
97,"crime, drama, 1995"
99,"documentary, 1995"
100,"drama, thriller, 1996"
101,"adventure, comedy, crime, romance, crime, off-beat comedy, quirky, 1996"
102,"comedy, 1996"
103,"mystery, sci-fi, thriller, 1996"
104,"comedy, test tag, golf, Adam Sandler, 1996"
105,"drama, romance, 1995"
106,"comedy, drama, 1994"
107,"adventure, children, comedy, musical, muppets, 1996"
108,"documentary, 1996"
110,"action, drama, war, beautiful scenery, epic, historical, inspirational, Medieval, mel gibson, Oscar (Best Cinematography), revenge, sword fight, Scotland, 1995"
111,"crime, drama, thriller, assassination, 1976"
112,"action, adventure, comedy, crime, 1995"
113,"drama, mystery, 1996"
116,"documentary, Holocaust, 1995"
117,"crime, drama, 1995"
