movieId,title,genres,overview
1,Toy Story (1995),"Adventure, Animation, Children, Comedy, Fantasy","adventure, animation, children, comedy, fantasy, pixar, pixar, fun, 1995"
2,Jumanji (1995),"Adventure, Children, Fantasy","adventure, children, fantasy, fantasy, magic board game, Robin Williams, game, 1995"
3,Grumpier Old Men (1995),"Comedy, Romance","comedy, romance, moldy, old, 1995"
5,Father of the Bride Part II (1995),Comedy,"comedy, pregnancy, remake, 1995"
6,Heat (1995),"Action, Crime, Thriller","action, crime, thriller, 1995"
7,Sabrina (1995),"Comedy, Romance","comedy, romance, remake, 1995"
10,GoldenEye (1995),"Action, Adventure, Thriller","action, adventure, thriller, 1995"
11,"American President, The (1995)","Comedy, Drama, Romance","comedy, drama, romance, politics, president, 1995"
16,Casino (1995),"Crime, Drama","crime, drama, Mafia, 1995"
17,Sense and Sensibility (1995),"Drama, Romance","drama, romance, Jane Austen, 1995"
19,Ace Ventura: When Nature Calls (1995),Comedy,"comedy, 1995"
21,Get Shorty (1995),"Comedy, Crime, Thriller","comedy, crime, thriller, Hollywood, 1995"
22,Copycat (1995),"Crime, Drama, Horror, Mystery, Thriller","crime, drama, horror, mystery, thriller, serial killer, 1995"
24,Powder (1995),"Drama, Sci-Fi","drama, sci-fi, 1995"
25,Leaving Las Vegas (1995),"Drama, Romance","drama, romance, alcoholism, 1995"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure, Drama, Fantasy, Mystery, Sci-Fi","adventure, drama, fantasy, mystery, sci-fi, kidnapping, 1995"
31,Dangerous Minds (1995),Drama,"drama, high school, teacher, 1995"
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Mystery, Sci-Fi, Thriller","mystery, sci-fi, thriller, time travel, time travel, Brad Pitt, Bruce Willis, mindfuck, Post apocalyptic, post-apocalyptic, remake, time travel, twist ending, 1995"
34,Babe (1995),"Children, Drama","children, drama, Animal movie, pigs, villain nonexistent or not needed for good story, 1995"
36,Dead Man Walking (1995),"Crime, Drama","crime, drama, death penalty, Nun, 1995"
39,Clueless (1995),"Comedy, Romance","comedy, romance, chick flick, funny, Paul Rudd, quotable, seen more than once, Emma, Jane Austen, 1995"
44,Mortal Kombat (1995),"Action, Adventure, Fantasy","action, adventure, fantasy, 1995"
45,To Die For (1995),"Comedy, Drama, Thriller","comedy, drama, thriller, Journalism, 1995"
47,Seven (a.k.a. Se7en) (1995),"Mystery, Thriller","mystery, thriller, mystery, twist ending, serial killer, 1995"
48,Pocahontas (1995),"Animation, Children, Drama, Musical, Romance","animation, children, drama, musical, romance, 1995"
50,"Usual Suspects, The (1995)","Crime, Mystery, Thriller","crime, mystery, thriller, mindfuck, suspense, thriller, tricky, twist ending, heist, 1995"
52,Mighty Aphrodite (1995),"Comedy, Drama, Romance","comedy, drama, romance, adoption, prostitution, 1995"
58,"Postman, The (Postino, Il) (1994)","Comedy, Drama, Romance","comedy, drama, romance, writing, 1994"
60,"Indian in the Cupboard, The (1995)","Adventure, Children, Fantasy","adventure, children, fantasy, 1995"
62,Mr. Holland's Opus (1995),Drama,"drama, music, 1995"
65,Bio-Dome (1996),Comedy,"comedy, 1996"
70,From Dusk Till Dawn (1996),"Action, Comedy, Horror, Thriller","action, comedy, horror, thriller, 1996"
95,Broken Arrow (1996),"Action, Adventure, Thriller","action, adventure, thriller, 1996"
